expected semantic name,input,correct/incorrect,not_correct_segment,correct_segment_v2,correct_segment_v3,no_idx_in_semantic
สำเนาใบแจ้งยอด,ไม่เห็นได้รับใบแจ้งยอดชำระเลยไม่ทราบว่าต้องชำระเท่าไหร่,no,ไม่เห็น ได้รับ ใบแจ้งยอด ชำระ เลย ไม่ ทราบว่า ต้อง ชำระ เท่าไหร่,ไม่เห็น ได้รับ ใบแจ้งยอด ชำระ เลย ไม่ ทราบว่า ต้อง ชำระ เท่าไหร่,ไม่เห็น ได้รับ ใบแจ้งยอด ชำระ เลย ไม่ ทราบว่า ต้อง ชำระ เท่าไหร่,1
บริการโอนเงินต่างประเทศผ่านระบบ SWIFT,อยากทราบรหัสสำหรับการโอนเงินต่างประเทศ,no,อยาก ทราบ รหัส สำหรับ การ โอนเงิน ต่างประเทศ,อยาก ทราบ รหัส สำหรับ การ โอนเงิน ต่างประเทศ,อยาก ทราบ รหัส สำหรับ การ โอนเงิน ต่างประเทศ,1
ลืมรหัสประจำตัว,รหัสประจำตัวคืออะไรคะ,no,รหัส ประจำตัว คือ อะไร คะ,รหัส ประจำตัว คือ อะไรคะ,รหัส ประจำตัว คือ อะไรคะ,1
การชำระเงิน,ชำระเบี้ยประกันผ่านapp kma ได้ไหมคะ,no,ชำระ เบี้ยประกัน ผ่าน app kma ได้ไหม คะ,ชำระ เบี้ยประกัน ผ่าน app kma ได้ ไหมคะ,ชำระ เบี้ยประกัน ผ่าน app kma ได้ ไหมคะ,1
การรับเช็ค(cheque),กรุงศรีปิดรับเชคกี่โมงคะ,yes,กรุงศรี ปิด รับ เชค กี่โมง คะ,กรุงศรี ปิด รับ เช็ค กี่โมง คะ,กรุงศรี ปิด รับ เช็ค กี่โมง คะ,1
สถานะบัญชีไม่เคลื่อนไหว(Inactive),ยอดขั้นตำที่ต้องมีอยู่ในบันชีเท่าไหร่บัญชีถึงจะไม่ปิดค่ะ,no,ยอด ขั้น ตำ ที่ ต้อง มีอยู่ ใน บัน ชี เท่าไหร่ บัญชี ถึง จะ ไม่ ปิด ค่ะ,ยอด ขั้น ตำ ที่ ต้อง มีอยู่ ใน บัญชี เท่าไหร่ บัญชี ถึง จะ ไม่ ปิด ค่ะ,ยอด ขั้น ตำ ที่ ต้อง มีอยู่ ใน บัญชี เท่าไหร่ บัญชี ถึง จะ ไม่ ปิด ค่ะ,1
Krungsri Gift,ถ้ามีแต่ kol จะเช็ค กรุงศรี gift ได้ไม๊ค่ะ,no,ถ้า มี แต่ kol จะ เช็ค กรุงศรี gift ได้ ไม ๊ ค่ะ,ถ้า มี แต่ kol จะ เช็ค กรุงศรี gift ได้ ไหม ค่ะ,ถ้า มี แต่ kol จะ เช็ค กรุงศรี gift ได้ ไหม ค่ะ,1
วิธีเพิ่มบัญชีบน KMA / Krungsri Online,เพิ่มบัญชีบัตรเครดิตยังไงคะ,no,เพิ่ม บัญชี บัตรเครดิต ยังไง คะ,เพิ่ม บัญชี บัตรเครดิต ยังไง คะ,เพิ่ม บัญชี บัตรเครดิต ยังไง คะ,1
ไถ่ถอน,ขอนัดวันไถ่ถอนค่ะ,yes,ขอ นัด วัน ไถ่ถอน ค่ะ,ขอ นัด วัน ไถ่ถอน ค่ะ,ขอ นัด วัน ไถ่ถอน ค่ะ,1
สถานะบัตร,ถ้าสมุดบัญชีหาย แล้วบัตรatm ยังใช้ได้มั้ยคะ,no,ถ้า สมุดบัญชี หาย แล้ว บัตรatm ยัง ใช้ได้ ม ั ้ ย คะ,ถ้า สมุดบัญชี หาย แล้ว บัตรatm ยัง ใช้ ได้ไหม คะ,ถ้า สมุดบัญชี หาย แล้ว บัตรatm ยัง ใช้ ได้ไหม คะ,1
บริการกรุงศรี Promptpay,บัตรประชาชนหายสมัครพร้อมเพย์ได้ป่าวคะ,yes,บัตรประชาชน หาย สมัคร พร้อม เพย์ ได้ ป่าว คะ,บัตรประชาชน หาย สมัคร promptpay ได้ ป่าว คะ,บัตรประชาชน หาย สมัคร promptpay ได้ ป่าว คะ,1
ปลดล็อค OTP,พึ่งได้หมายเลขอ้างอิง otp มาจะปลดล็อคทำอย่างไรค่ะ,yes,พึ่งได้ หมายเลข อ้างอิง otp มา จะ ปลดล็อค ทำ อย่างไร ค่ะ,พึ่งได้ หมายเลข อ้างอิง otp มา จะ ปลดล็อค ทำอย่างไร ค่ะ,พึ่งได้ หมายเลข อ้างอิง otp มา จะ ปลดล็อค ทำอย่างไร ค่ะ,1
หนังสือรับรองดอกเบี้ย,ขอเอกสารดอกเบี้ยบ้านลดหย่อน,no,ขอ เอกสาร ดอกเบี้ย บ้าน ลดหย่อน,ขอ เอกสาร ดอกเบี้ย บ้าน ลดหย่อน,ขอ เอกสาร ดอกเบี้ย บ้าน ลดหย่อน,1
สถานะการจัดส่งเอกสาร,ช่วยตรวจสอบหน่อยคะ หนังสือลดหย่อนดอกบ้านส่งมารึยัง รอนานมาก,no,ช่วย ตรวจสอบ หน่อย คะ หนังสือ ลดหย่อน ดอก บ้าน ส่ง มา รึ ยัง รอ นาน มาก,ช่วย ตรวจสอบ หน่อย คะ หนังสือ ลดหย่อน ดอก บ้าน ส่ง มา หรือยัง รอ นาน มาก,ช่วย ตรวจสอบ หน่อย คะ หนังสือ ลดหย่อน ดอก บ้าน ส่ง มา หรือยัง รอ นาน มาก,1
ค้นหาตู้เอทีเอ็ม,สะพานมิตรภาพไทยลาวมีตู้กรุงศรีไหมค่ะ,yes,สะพานมิตรภาพไทยลาว มี ตู้ กรุงศรี ไหม ค่ะ,สะพานมิตรภาพไทยลาว มี ตู้ กรุงศรี ไหมค่ะ,สะพานมิตรภาพไทยลาว มี ตู้ กรุงศรี ไหมค่ะ,1
IVR,โทร1572แล้วไปไหนต่อ กดไม่เป็น,no,โทร #### แล้ว ไปไหน ต่อ กด ไม่เป็น,โทร #### แล้ว ไปไหน ต่อ กด ไม่เป็น,โทร #### แล้ว ไปไหน ต่อ กด ไม่เป็น,1
เปิดใช้งานบัตร,จะเปิดใช้บัตรกดเงิน กดเลข16ตัวแล้วแต่ทำรายการต่อไม่ได้,no,จะ เปิด ใช้ บัตร กด เงิน กด เลข ## ตัว แล้วแต่ ทำ รายการ ต่อ ไม่ได้,จะ เปิด ใช้ บัตรกดเงิน กด เลข ## ตัว แล้วแต่ ทำ รายการ ต่อ ไม่ได้,จะ เปิด ใช้ บัตรกดเงิน กด เลข ## ตัว แล้วแต่ ทำ รายการ ต่อ ไม่ได้,1
ผลิตภัณฑ์กองทุน,ซื้อขายยกองทุนในแอพได้ตลอดเวลารึป่าว,no,ซื้อขาย ย กองทุน ใน แอพ ได้ ตลอด เวลา หรือ เปล่า,ซื้อขาย ย กองทุน ใน app ได้ ตลอด เวลา หรือ เปล่า,ซื้อขาย ย กองทุน ใน app ได้ ตลอด เวลา หรือ เปล่า,1
Krungsri BFF,bff สมัครอย่างไร,yes,bff สมัคร อย่างไร,bff สมัคร อย่างไร,bff สมัคร อย่างไร,1
Krungsri Exclusive,สถานะ krungsri exclusive จะได้เมื่อไหร่,no,สถานะ krungsri exclusive จะ ได้ เมื่อไหร่,สถานะ krungsri exclusive จะ ได้ เมื่อไหร่,สถานะ krungsri exclusive จะ ได้ เมื่อไหร่,1
Krungsri Gift Card,จะซื้อ krungsri gift card ได้ทุกสาขามั้ย,no,จะ ซื้อ krungsri gift card ได้ ทุก สาขา ม ั ้ ย,จะ ซื้อ krungsri gift card ได้ ทุก สาขา ไหม,จะ ซื้อ krungsri gift card ได้ ทุก สาขา ไหม,1
Krungsri PRIME,อยากเป็นลูกค้า prime ต้องทำยังไง,yes,อยาก เป็น ลูกค้า prime ต้อง ทำ ยังไง,อยาก เป็น ลูกค้า prime ต้อง ทำ ยังไง,อยาก เป็น ลูกค้า prime ต้อง ทำ ยังไง,1
Krungsri Quickpay,ต้องการสมัครบริการ krungsri quick pay ต้องทำอย่างไรบ้าง,no,ต้องการ สมัคร บริการ krungsri quick pay ต้อง ทำ อย่างไรบ้าง,ต้องการ สมัคร บริการ krungsri quick pay ต้อง ทำ อย่างไรบ้าง,ต้องการ สมัคร บริการ krungsri quick pay ต้อง ทำ อย่างไรบ้าง,1
Krungsri มั่งมี,ต้องการสมัครกรุงศรีมั่งมี,yes,ต้องการ สมัคร กรุงศรี มั่งมี,ต้องการ สมัคร กรุงศรี มั่งมี,ต้องการ สมัคร กรุงศรี มั่งมี,1
Paypal,paypal คืออะไร,yes,paypal คือ อะไร,paypal คือ อะไร,paypal คือ อะไร,1
การกำหนดวงเงินบัตรเดบิต,ให้ atm ลูกไว้จำกัดวงเงินได้มั้ย,yes,ให้ atm ลูก ไว้ จำกัด วงเงิน ได้ ม ั ้ ย,ให้ atm ลูก ไว้ จำกัด วงเงิน ได้ไหม,ให้ atm ลูก ไว้ จำกัด วงเงิน ได้ไหม,1
การใช้งาน Krungsri Biz Online,อยากใช้งาน  krungsri biz online ต้องทำไง,no,อยาก ใช้งาน krungsri biz online ต้อง ทำไง,อยาก ใช้งาน krungsri biz online ต้องทำไง,อยาก ใช้งาน krungsri biz online ต้องทำไง,1
เงินโอน,ต้องการตั้งเวลาโอนเงินล่วงหน้าต้องทำยังไง,no,ต้องการ ตั้ง เวลา โอนเงิน ล่วงหน้า ต้อง ทำ ยังไง,ต้องการ ตั้ง เวลา โอนเงิน ล่วงหน้า ต้อง ทำ ยังไง,ต้องการ ตั้ง เวลา โอนเงิน ล่วงหน้า ต้อง ทำ ยังไง,1
เกี่ยวกับ Yellow Point,แลก yellow point ได้ที่ใหนบ้าง,no,แลก yellow point ได้ที่ ใ หน บ้าง,แลก yellow point ได้ที่ ไหน บ้าง,แลก yellow point ได้ที่ ไหน บ้าง,1
ขอปรับลดอัตราดอกเบี้ย,ลูกค้าเดิมขอปรับลดดอกได้ไหม,no,ลูกค้า เดิม ขอ ปรับ ลด ดอก ได้ไหม,ลูกค้า เดิม ขอ ปรับ ลด ดอก ได้ไหม,ลูกค้า เดิม ขอ ปรับ ลด ดอก ได้ไหม,1
ข้อมูลเครดิตบูโร,ถ้าต้องการตรวจสอบข้อมูลเครดิต จะต้องติดต่อที่ไหน,no,ถ้า ต้องการ ตรวจสอบ ข้อมูล เครดิต จะต้อง ติดต่อ ที่ไหน,ถ้า ต้องการ ตรวจสอบ ข้อมูล เครดิต จะต้อง ติดต่อ ที่ไหน,ถ้า ต้องการ ตรวจสอบ ข้อมูล เครดิต จะต้อง ติดต่อ ที่ไหน,1
ข้อมูลบัญชี,มีเงินโอนเข้ามาต้องการทราบว่าโอนมาจากไหน,yes,มีเงิน โอน เข้ามา ต้องการ ทราบว่า โอน มาจาก ไหน,มีเงิน โอน เข้ามา ต้องการ ทราบว่า โอน มาจาก ไหน,มีเงิน โอน เข้ามา ต้องการ ทราบว่า โอน มาจาก ไหน,1
เครื่อง ATM,บัตรถูกนำไปกดเงินที่ตู้กรุงศรีหน้าซอยอารีย์ขอทราบหมายเลขตู้จะไปแจ้งความ,no,บัตร ถูก นำ ไป กด เงิน ที่ ตู้ กรุงศรี หน้า ซอย อารีย์ ขอ ทราบ หมายเลข ตู้ จะ ไป แจ้งความ,บัตร ถูก นำ ไป กดเงิน ที่ ตู้ กรุงศรี หน้า ซอย อารีย์ ขอ ทราบ หมายเลข ตู้ จะ ไป แจ้งความ,บัตร ถูก นำ ไป กดเงิน ที่ ตู้ กรุงศรี หน้า ซอย อารีย์ ขอ ทราบ หมายเลข ตู้ จะ ไป แจ้งความ,1
ได้รับการติดต่อ,ได้รับอีเมลจากกรุงศรีให้ยืนยันรหัสส่วนตัวในลิ้งค์,no,ได้รับ อีเมล จาก กรุงศรี ให้ ยืนยัน รหัส ส่วนตัว ใน ลิ้งค์,ได้รับ อีเมล จาก กรุงศรี ให้ ยืนยัน รหัส ส่วนตัว ใน ลิ้งค์,ได้รับ อีเมล จาก กรุงศรี ให้ ยืนยัน รหัส ส่วนตัว ใน ลิ้งค์,1
ได้รับเอกสาร,ได้รับ email แนบเอกสารกรุงศรีมาคืออะไรคะ,no,ได้รับ email แนบ เอกสาร กรุงศรี มา คือ อะไร คะ,ได้รับ email แนบ เอกสาร กรุงศรี มา คือ อะไรคะ,ได้รับ email แนบ เอกสาร กรุงศรี มา คือ อะไรคะ,1
แบบฟอร์มการตรวจสอบรายการบัตรเดบิต,กรอกแบบฟอร์มปฏิเสธรายการต้องส่งไปที่ไหน,yes,กรอก แบบ ฟอร์ม ปฏิเสธ รายการ ต้อง ส่ง ไป ที่ไหน,กรอก แบบฟอร์ม ปฏิเสธ รายการ ต้อง ส่ง ไป ที่ไหน,กรอก แบบฟอร์ม ปฏิเสธ รายการ ต้อง ส่ง ไป ที่ไหน,1
ใบเสร็จ,สอบถามใบเสร็จสินเชื่อบุคคลยอดชำระค่าที่ สาขาเมื่อวานหายทำอย่างไร,no,สอบถาม ใบเสร็จ สินเชื่อบุคคล ยอด ชำระ ค่าที่ สาขา เมื่อวาน หาย ทำ อย่างไร,สอบถาม ใบเสร็จ สินเชื่อบุคคล ยอด ชำระ ค่าที่ สาขา เมื่อวาน หาย ทำอย่างไร,สอบถาม ใบเสร็จ สินเชื่อบุคคล ยอด ชำระ ค่าที่ สาขา เมื่อวาน หาย ทำอย่างไร,1
ประนอมหนี้/ปรับโครงสร้างหนี้,ขอประบโครงสร้างหนี้บัตรเครดิต,yes,ขอ ประ บ โครงสร้าง หนี้บัตรเครดิต,ขอ ประ บ โครงสร้าง หนี้บัตรเครดิต,ขอ ประ บ โครงสร้าง หนี้บัตรเครดิต,1
ภาษีนิติบุคคล,สอบถามภาษีนิติบุคคล,yes,สอบถาม ภาษี นิติบุคคล,สอบถาม ภาษี นิติบุคคล,สอบถาม ภาษี นิติบุคคล,1
ยกเลิก KMA / Krungsri Online,อยากยกเลิก app ของธนาคาร ต้องทำยังไง,yes,อยาก ยกเลิก app ของ ธนาคาร ต้อง ทำ ยังไง,อยาก ยกเลิก app ของ ธนาคาร ต้อง ทำ ยังไง,อยาก ยกเลิก app ของ ธนาคาร ต้อง ทำ ยังไง,1
ยกเลิกคำขอ,ยกเลิกคำขอเปลี่ยนเบอร์ต้องติดต่อสาขาหรือติดต่อหน่วยงานใด,no,ยกเลิก คำ ขอ เปลี่ยน เบอร์ ต้อง ติดต่อ สาขา หรือ ติดต่อ หน่วยงาน ใด,ยกเลิก คำ ขอ เปลี่ยน เบอร์ ต้อง ติดต่อ สาขา หรือ ติดต่อ หน่วยงาน ใด,ยกเลิก คำ ขอ เปลี่ยน เบอร์ ต้อง ติดต่อ สาขา หรือ ติดต่อ หน่วยงาน ใด,1
ยกเลิกตู้นิรภัย,จะยกเลิกการเช่าตู้นิรภัยได้ที่ไหน,yes,จะ ยกเลิก การเช่า ตู้นิรภัย ได้ ที่ไหน,จะ ยกเลิก การเช่า ตู้นิรภัย ได้ ที่ไหน,จะ ยกเลิก การเช่า ตู้นิรภัย ได้ ที่ไหน,1
รหัสการทำรายการ,รหัส pos คืออะไร,no,รหัส pos คือ อะไร,รหัส pos คือ อะไร,รหัส pos คือ อะไร,1
รหัสผ่านชั่วคราว,รหัสผ่านชั่วคราวใช้งานไม่ได้,no,รหัสผ่าน ชั่วคราว ใช้งานไม่ได้,รหัสผ่าน ชั่วคราว ใช้งานไม่ได้,รหัสผ่าน ชั่วคราว ใช้งานไม่ได้,1
โอนผิดบัญชี,ซื้อของออนไลน์แล้วโอนเงินผิดบัญชีต้องทำยังไง,no,ซื้อของ ออนไลน์ แล้ว โอนเงิน ผิด บัญชี ต้อง ทำ ยังไง,ซื้อของ ออนไลน์ แล้ว โอนเงิน ผิด บัญชี ต้อง ทำ ยังไง,ซื้อของ ออนไลน์ แล้ว โอนเงิน ผิด บัญชี ต้อง ทำ ยังไง,1
ระยะเวลาตรวจสอบการโอนผิดบัญชี,ชำระสินค้าผิดบัญชีทำเรื่องเสร็จแล้วจะได้เงินคืนภายในกี่วัน,no,ชำระ สินค้า ผิด บัญชี ทำเรื่อง เสร็จแล้ว จะ ได้ เงิน คืน ภายใน กี่ วัน,ชำระ สินค้า ผิด บัญชี ทำเรื่อง เสร็จแล้ว จะ ได้ เงิน คืน ภายใน กี่ วัน,ชำระ สินค้า ผิด บัญชี ทำเรื่อง เสร็จแล้ว จะ ได้ เงิน คืน ภายใน กี่ วัน,1
แลกธนบัตร,แลกธนบัตรติดต่อที่สาขาใดบ้าง,yes,แลก ธนบัตร ติดต่อ ที่ สาขา ใด บ้าง,แลก ธนบัตร ติดต่อ ที่ สาขา ใด บ้าง,แลก ธนบัตร ติดต่อ ที่ สาขา ใด บ้าง,1
แลกเหรียญ,แลกเหรียญมีค่าธรรมเนียมมั้ย,yes,แลก เหรียญ มีค่า ธรรมเนียม ม ั ้ ย,แลก เหรียญ มีค่า ธรรมเนียม ไหม,แลก เหรียญ มีค่า ธรรมเนียม ไหม,1
วิธีการใช้บัตรเดบิต,บัตรเดบิตกดเงินจากตู้เอทีเอ็มต่างแบงค์ได้ไหม,no,บัตรเดบิต กด เงิน จาก ตู้เอทีเอ็ม ต่าง แบงค์ ได้ไหม,บัตรเดบิต กดเงิน จาก ตู้_atm ต่าง bank ได้ไหม,บัตรเดบิต กดเงิน จาก ตู้_atm ต่าง bank ได้ไหม,1
บัตรเบิกถอนเงินสด,กดเงินจากบัตรเดบิตใช้รหัสกี่หลัก,no,กด เงิน จาก บัตรเดบิต ใช้ รหัส กี่ หลัก,กดเงิน จาก บัตรเดบิต ใช้ รหัส กี่ หลัก,กดเงิน จาก บัตรเดบิต ใช้ รหัส กี่ หลัก,1
สถานะกองทุน,ขอทราบช่องทางการตรวจสอบสถานะกองทุน,no,ขอ ทราบ ช่องทาง การ ตรวจสอบ สถานะ กองทุน,ขอ ทราบ ช่องทาง การ ตรวจสอบ สถานะ กองทุน,ขอ ทราบ ช่องทาง การ ตรวจสอบ สถานะ กองทุน,1
สถานะการจัดส่งบัตร,ขอสอบถามเลข tracking no. ที่จัดส่งบัตร,no,ขอ สอบถาม เลข tracking no. ที่ จัดส่ง บัตร,ขอ สอบถาม เลข tracking no. ที่ จัดส่ง บัตร,ขอ สอบถาม เลข tracking no. ที่ จัดส่ง บัตร,1
สำเนาเอกสารสินเชื่อ,ขอสำเนาโฉนดได้ที่ไหน,yes,ขอ สำเนา โฉนด ได้ ที่ไหน,ขอ สำเนา โฉนด ได้ ที่ไหน,ขอ สำเนา โฉนด ได้ ที่ไหน,1
เสนอพื้นที่เช่าติดตั้งตู้ ATM / สาขา,อยากให้มีตู้เอทีเอ็มกรุงศรีที่ตลาดบางใหญ่,yes,อยาก ให้ มี ตู้เอทีเอ็ม กรุงศรี ที่ ตลาด บางใหญ่,อยากให้ มี ตู้_atm กรุงศรี ที่ ตลาด บางใหญ่,อยากให้ มี ตู้_atm กรุงศรี ที่ ตลาด บางใหญ่,1
วันหมดอายุบัตร,บัตรatm มีอายุกี่ปีครับ ผมทำไว้นานจนลืม ทำใหม่คิดค่าทำไม๊,no,บัตรatm มีอายุ กี่ ปี ครับ ผมทำ ไว้ นาน จน ลืม ทำ ใหม่ คิด ค่า ทำไม ๊,บัตรatm มีอายุ กี่ ปี ครับ ผมทำ ไว้ นาน จน ลืม ทำ ใหม่ คิด ค่า ทำ ไหม,บัตรatm มีอายุ กี่ ปี ครับ ผมทำ ไว้ นาน จน ลืม ทำ ใหม่ คิด ค่า ทำ ไหม,1
ประเภทบัตรเดบิต,เดบิตกรุงศรีมีอะไรบ้าง,yes,เดบิต กรุงศรี มี อะไร บ้าง,เดบิต กรุงศรี มีอะไรบ้าง,เดบิต กรุงศรี มีอะไรบ้าง,1
สิทธิพิเศษ,อยากทราบโปรโมชั่นที่ใช้บัตรเดบิตซื้อตั๋วหนังอะคับ,no,อยาก ทราบ โปรโมชั่น ที่ ใช้ บัตรเดบิต ซื้อ ตั๋วหนัง อะ คับ,อยาก ทราบ โปรโมชั่น ที่ ใช้ บัตรเดบิต ซื้อ ตั๋วหนัง อะครับ,อยาก ทราบ โปรโมชั่น ที่ ใช้ บัตรเดบิต ซื้อ ตั๋วหนัง อะครับ,1
ของกำนัล,แลกพ้อยไปแล้วจะได้รางวัลภายในกี่วันครับ,yes,แลก พ้อย ไปแล้ว จะ ได้ รางวัล ภายใน กี่ วัน ครับ,แลก พ้อย ไปแล้ว จะ ได้ รางวัล ภายใน กี่ วัน ครับ,แลก พ้อย ไปแล้ว จะ ได้ รางวัล ภายใน กี่ วัน ครับ,1
การรับ OTP,รหัส otp นี่จะส่งมาตอนไหนครับ,no,รหัส otp นี่ จะ ส่ง มา ตอน ไหน ครับ,รหัส otp นี่ จะ ส่ง มา ตอน ไหน ครับ,รหัส otp นี่ จะ ส่ง มา ตอน ไหน ครับ,1
Contact Us,อยากทราบว่าอีเมลปลอมหรือเปล่าข้อความให้ใส่user/password ส่งเมลตอบกลับด้วยคืออะไรตรวจสอบหน่อย,no,อยาก ทราบว่า อีเมล ปลอม หรือเปล่า ข้อความ ให้ ใส่ user / password ส่ง เมล ตอบกลับ ด้วย คือ อะไร ตรวจสอบ หน่อย,อยาก ทราบว่า อีเมล ปลอม หรือเปล่า ข้อความ ให้ ใส่ user / password ส่ง เมล ตอบกลับ ด้วย คือ อะไร ตรวจสอบ หน่อย,อยาก ทราบว่า อีเมล ปลอม หรือเปล่า ข้อความ ให้ ใส่ user / password ส่ง เมล ตอบกลับ ด้วย คือ อะไร ตรวจสอบ หน่อย,1
ดาวน์โหลดแบบฟอร์ม,ต้องการดาวน์โหลดแบบฟอร์มกรุงศรี,yes,ต้องการ ดาวน์โหลด แบบ ฟอร์ม กรุงศรี,ต้องการ ดาวน์โหลด แบบฟอร์ม กรุงศรี,ต้องการ ดาวน์โหลด แบบฟอร์ม กรุงศรี,1
สำเนาใบเสร็จ,ไม่ได้รับใบเสร็จงวดที่แล้วสินเชื่อบ้าน,no,ไม่ ได้รับ ใบเสร็จ งวด ที่แล้ว สินเชื่อ บ้าน,ไม่ ได้รับ ใบเสร็จ งวด ที่แล้ว สินเชื่อ บ้าน,ไม่ ได้รับ ใบเสร็จ งวด ที่แล้ว สินเชื่อ บ้าน,1
ตรวจสอบสถานะการจัดส่ง,พนักงานแจ้งว่าได้รับการอนุมัติบัตรเครดิตแล้ว กี่วันจะได้รับบัตร,no,พนักงาน แจ้ง ว่า ได้รับ การอนุมัติ บัตรเครดิต แล้ว กี่ วัน จะ ได้รับ บัตร,พนักงาน แจ้ง ว่า ได้รับ การอนุมัติ บัตรเครดิต แล้ว กี่ วัน จะ ได้รับ บัตร,พนักงาน แจ้ง ว่า ได้รับ การอนุมัติ บัตรเครดิต แล้ว กี่ วัน จะ ได้รับ บัตร,1
ขอยกเว้นดอกเบี้ย,อยากขอยกเว้นดอกเบี้ยได้ไม๊,yes,อยาก ขอ ยกเว้น ดอกเบี้ย ได้ ไม ๊,อยาก ขอ ยกเว้น ดอกเบี้ย ได้ ไหม,อยาก ขอ ยกเว้น ดอกเบี้ย ได้ ไหม,1
ปัญหาการสมัครสินเชื่อ,มีปัญหาเกี่ยวกับการสมัครสินเชื่อบ้าน,no,มีปัญหา เกี่ยวกับ การ สมัคร สินเชื่อ บ้าน,มีปัญหา เกี่ยวกับ การ สมัคร สินเชื่อ บ้าน,มีปัญหา เกี่ยวกับ การ สมัคร สินเชื่อ บ้าน,1
การใช้บัตรเกินจำนวนครั้ง,ใช้บัตรเกินจำนวนครั้ง ทำไง,yes,ใช้ บัตร เกิน จำนวน ครั้ง ทำไง,ใช้ บัตร เกิน จำนวน ครั้ง ทำไง,ใช้ บัตร เกิน จำนวน ครั้ง ทำไง,1
ปัญหาไม่ได้รับเงินโอนจาก True wallet เข้าบัญชี,โอนจาก ทรู ทำไมเงินไม่เข้า,yes,โอน จาก ทรู ทำไม เงิน ไม่ เข้า,โอน จาก ทรู ทำไม เงิน ไม่ เข้า,โอน จาก ทรู ทำไม เงิน ไม่ เข้า,1
สถานะการสมัครงาน,ส่ง resume ไปแล้วยังไม่มีการติดต่อกลับเลย,no,ส่ง resume ไปแล้ว ยังไม่มี การ ติดต่อ กลับ เลย,ส่ง resume ไปแล้ว ยังไม่มี การ ติดต่อ กลับ เลย,ส่ง resume ไปแล้ว ยังไม่มี การ ติดต่อ กลับ เลย,1
ไม่ได้ใช้งานแต่ได้รับ OTP,otp อะไร ไม่ได้ใช้กรุงศรี,no,otp อะไร ไม่ได้ ใช้ กรุงศรี,otp อะไร ไม่ได้ ใช้ กรุงศรี,otp อะไร ไม่ได้ ใช้ กรุงศรี,1
สมัครงาน,ต้องใช้เอกสารอะไรบ้างในการสมัครงาน,yes,ต้อง ใช้ เอกสาร อะไร บ้าง ใน การ สมัครงาน,ต้อง ใช้ เอกสาร อะไรบ้าง ใน การ สมัครงาน,ต้อง ใช้ เอกสาร อะไรบ้าง ใน การ สมัครงาน,2
ปัญหาไม่สามารถใช้วงเงินที่มีอยู่ได้,ผมใช้เงินในบัญชีไม่ได้,no,ผม ใช้ เงิน ใน บัญชี ไม่ได้,ผม ใช้ เงิน ใน บัญชี ไม่ได้,ผม ใช้ เงิน ใน บัญชี ไม่ได้,2
สิทธิขั้นพื้นฐานผู้บริโภค,ขอรายละเอียดของสิทธิขั้นพื้นฐานผู้บริโภค,yes,ขอ รายละเอียด ของ สิทธิ ขั้น พื้นฐาน ผู้บริโภค,ขอ รายละเอียด ของ สิทธิ ขั้น พื้นฐาน ผู้บริโภค,ขอ รายละเอียด ของ สิทธิ ขั้น พื้นฐาน ผู้บริโภค,2
สอบถามยอดผ่อนชำระต่อเดือน,วงเงินสินเชื่อ 500000 ผ่อน 60 เดือน เดือนละกี่บาท,no,วงเงิน สินเชื่อ 5##### ผ่อน 6# เดือน เดือนละ กี่ บาท,วงเงิน สินเชื่อ 5##### ผ่อน 6# เดือน เดือนละ กี่ บาท,วงเงิน สินเชื่อ 5##### ผ่อน 6# เดือน เดือนละ กี่ บาท,2
แจ้งปัญหาการ login,เวปกรุงศรีเข้าระบบไม่ได้,no,เวป กรุงศรี เข้า ระบบ ไม่ได้,เว็บ กรุงศรี เข้า ระบบ ไม่ได้,เว็บ กรุงศรี เข้า ระบบ ไม่ได้,2
สอบถามค่าธรรมเนียมการออกบัตรใหม่,บัตร atm debit ผมใกล้หมดอายุ จะออกบัตรใหม่ต้องเสียกี่บาท,no,บัตร atm debit ผม ใกล้ หมดอายุ จะ ออก บัตร ใหม่ ต้อง เสีย กี่ บาท,บัตร atm debit ผม ใกล้ หมดอายุ จะ ออก บัตร ใหม่ ต้อง เสีย กี่ บาท,บัตร atm debit ผม ใกล้ หมดอายุ จะ ออก บัตร ใหม่ ต้อง เสีย กี่ บาท,2
บัตรหมดอายุ,สอบถามบัดรหมดอายุ,no,สอบถาม บัด ร หมดอายุ,สอบถาม บัตร หมดอายุ,สอบถาม บัตร หมดอายุ,2
เปลี่ยนแปลงที่อยู่จัดส่งเอกสาร,ขอสอบถามการแก้ไขที่อยู่จัดส่งเอกสาร,yes,ขอ สอบถาม การแก้ไข ที่อยู่ จัดส่ง เอกสาร,ขอ สอบถาม การแก้ไข ที่อยู่ จัดส่ง เอกสาร,ขอ สอบถาม การแก้ไข ที่อยู่ จัดส่ง เอกสาร,2
